,rank,artist,name,value,date,country,country_code,lastValue,year
0,1,The Weeknd,Starboy,3135625,2017-01-01,global,global,3135625.0,2017.0
1,2,The Chainsmokers,Closer (feat. Halsey),3015525,2017-01-01,global,global,3015525.0,2017.0
2,3,DJ Snake,Let Me Love You,2545384,2017-01-01,global,global,2545384.0,2017.0
3,4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2356604,2017-01-01,global,global,2356604.0,2017.0
4,5,Drake,One Dance,2259887,2017-01-01,global,global,2259887.0,2017.0
5,6,Drake,Fake Love,2137437,2017-01-01,global,global,2137437.0,2017.0
6,7,Bruno Mars,24K Magic,2111599,2017-01-01,global,global,2111599.0,2017.0
7,8,Maroon 5,Don't Wanna Know,2107137,2017-01-01,global,global,2107137.0,2017.0
8,9,Rae Sremmurd,Black Beatles,2075732,2017-01-01,global,global,2075732.0,2017.0
9,10,The Weeknd,I Feel It Coming,1949575,2017-01-01,global,global,1949575.0,2017.0
10,1,The Weeknd,Starboy,3342769,2017-01-02,global,global,3135625.0,2017.0027397260274
11,2,The Chainsmokers,Closer (feat. Halsey),3019058,2017-01-02,global,global,3015525.0,2017.0027397260274
12,3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2726981,2017-01-02,global,global,2356604.0,2017.0027397260274
13,4,DJ Snake,Let Me Love You,2524666,2017-01-02,global,global,2545384.0,2017.0027397260274
14,5,Maroon 5,Don't Wanna Know,2362830,2017-01-02,global,global,2107137.0,2017.0027397260274
15,6,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2329762,2017-01-02,global,global,2329762.0,2017.0027397260274
16,7,James Arthur,Say You Won't Let Go,2263324,2017-01-02,global,global,2263324.0,2017.0027397260274
17,8,Drake,Fake Love,2241455,2017-01-02,global,global,2137437.0,2017.0027397260274
18,9,Bruno Mars,24K Magic,2152569,2017-01-02,global,global,2111599.0,2017.0027397260274
19,10,The Weeknd,I Feel It Coming,2135229,2017-01-02,global,global,1949575.0,2017.0027397260274
20,1,The Weeknd,Starboy,3563076,2017-01-03,global,global,3342769.0,2017.0054794520547
21,2,The Chainsmokers,Closer (feat. Halsey),3175128,2017-01-03,global,global,3019058.0,2017.0054794520547
22,3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2892451,2017-01-03,global,global,2726981.0,2017.0054794520547
23,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2710150,2017-01-03,global,global,2329762.0,2017.0054794520547
24,5,DJ Snake,Let Me Love You,2663869,2017-01-03,global,global,2524666.0,2017.0054794520547
25,6,Maroon 5,Don't Wanna Know,2565521,2017-01-03,global,global,2362830.0,2017.0054794520547
26,7,James Arthur,Say You Won't Let Go,2495021,2017-01-03,global,global,2263324.0,2017.0054794520547
27,8,Drake,Fake Love,2402911,2017-01-03,global,global,2241455.0,2017.0054794520547
28,9,The Weeknd,I Feel It Coming,2338067,2017-01-03,global,global,2135229.0,2017.0054794520547
29,10,Bruno Mars,24K Magic,2280795,2017-01-03,global,global,2152569.0,2017.0054794520547
30,1,The Weeknd,Starboy,3619247,2017-01-04,global,global,3563076.0,2017.0082191780823
31,2,The Chainsmokers,Closer (feat. Halsey),3224594,2017-01-04,global,global,3175128.0,2017.0082191780823
32,3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2977555,2017-01-04,global,global,2892451.0,2017.0082191780823
33,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2878313,2017-01-04,global,global,2710150.0,2017.0082191780823
34,5,DJ Snake,Let Me Love You,2680096,2017-01-04,global,global,2663869.0,2017.0082191780823
35,6,Maroon 5,Don't Wanna Know,2599826,2017-01-04,global,global,2565521.0,2017.0082191780823
36,7,James Arthur,Say You Won't Let Go,2555826,2017-01-04,global,global,2495021.0,2017.0082191780823
37,8,The Weeknd,I Feel It Coming,2441812,2017-01-04,global,global,2338067.0,2017.0082191780823
38,9,Drake,Fake Love,2427406,2017-01-04,global,global,2402911.0,2017.0082191780823
39,10,Bruno Mars,24K Magic,2315382,2017-01-04,global,global,2280795.0,2017.0082191780823
40,1,The Weeknd,Starboy,3579206,2017-01-05,global,global,3619247.0,2017.0109589041097
41,2,The Chainsmokers,Closer (feat. Halsey),3202540,2017-01-05,global,global,3224594.0,2017.0109589041097
42,3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2990199,2017-01-05,global,global,2977555.0,2017.0109589041097
43,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2898180,2017-01-05,global,global,2878313.0,2017.0109589041097
44,5,DJ Snake,Let Me Love You,2677274,2017-01-05,global,global,2680096.0,2017.0109589041097
45,6,Maroon 5,Don't Wanna Know,2573317,2017-01-05,global,global,2599826.0,2017.0109589041097
46,7,James Arthur,Say You Won't Let Go,2565362,2017-01-05,global,global,2555826.0,2017.0109589041097
47,8,The Weeknd,I Feel It Coming,2470422,2017-01-05,global,global,2441812.0,2017.0109589041097
48,9,Drake,Fake Love,2423689,2017-01-05,global,global,2427406.0,2017.0109589041097
49,10,Bruno Mars,24K Magic,2295803,2017-01-05,global,global,2315382.0,2017.0109589041097
50,1,Ed Sheeran,Shape of You,6151345,2017-01-06,global,global,6151345.0,2017.013698630137
51,2,Ed Sheeran,Castle on the Hill,5661820,2017-01-06,global,global,5661820.0,2017.013698630137
52,3,The Weeknd,Starboy,3590301,2017-01-06,global,global,3579206.0,2017.013698630137
53,4,The Chainsmokers,Closer (feat. Halsey),3101351,2017-01-06,global,global,3202540.0,2017.013698630137
54,5,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3025226,2017-01-06,global,global,2990199.0,2017.013698630137
55,6,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2897927,2017-01-06,global,global,2898180.0,2017.013698630137
56,7,Maroon 5,Don't Wanna Know,2567090,2017-01-06,global,global,2573317.0,2017.013698630137
57,8,DJ Snake,Let Me Love You,2565040,2017-01-06,global,global,2677274.0,2017.013698630137
58,9,Drake,Fake Love,2481652,2017-01-06,global,global,2423689.0,2017.013698630137
59,10,James Arthur,Say You Won't Let Go,2477169,2017-01-06,global,global,2565362.0,2017.013698630137
60,1,Ed Sheeran,Shape of You,6602494,2017-01-07,global,global,6151345.0,2017.0164383561644
61,2,Ed Sheeran,Castle on the Hill,5039058,2017-01-07,global,global,5661820.0,2017.0164383561644
62,3,The Weeknd,Starboy,3460752,2017-01-07,global,global,3590301.0,2017.0164383561644
63,4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3083514,2017-01-07,global,global,3025226.0,2017.0164383561644
64,5,The Chainsmokers,Closer (feat. Halsey),2998374,2017-01-07,global,global,3101351.0,2017.0164383561644
65,6,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2795586,2017-01-07,global,global,2897927.0,2017.0164383561644
66,7,Maroon 5,Don't Wanna Know,2571643,2017-01-07,global,global,2567090.0,2017.0164383561644
67,8,DJ Snake,Let Me Love You,2477080,2017-01-07,global,global,2565040.0,2017.0164383561644
68,9,Drake,Fake Love,2440886,2017-01-07,global,global,2481652.0,2017.0164383561644
69,10,James Arthur,Say You Won't Let Go,2428183,2017-01-07,global,global,2477169.0,2017.0164383561644
70,1,Ed Sheeran,Shape of You,6557531,2017-01-08,global,global,6602494.0,2017.0191780821917
71,2,Ed Sheeran,Castle on the Hill,4584668,2017-01-08,global,global,5039058.0,2017.0191780821917
72,3,The Weeknd,Starboy,3127938,2017-01-08,global,global,3460752.0,2017.0191780821917
73,4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2802693,2017-01-08,global,global,3083514.0,2017.0191780821917
74,5,The Chainsmokers,Closer (feat. Halsey),2697878,2017-01-08,global,global,2998374.0,2017.0191780821917
75,6,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2658820,2017-01-08,global,global,2795586.0,2017.0191780821917
76,7,James Arthur,Say You Won't Let Go,2371671,2017-01-08,global,global,2428183.0,2017.0191780821917
77,8,Maroon 5,Don't Wanna Know,2339709,2017-01-08,global,global,2571643.0,2017.0191780821917
78,9,Drake,Fake Love,2288806,2017-01-08,global,global,2440886.0,2017.0191780821917
79,10,DJ Snake,Let Me Love You,2197149,2017-01-08,global,global,2477080.0,2017.0191780821917
80,1,Ed Sheeran,Shape of You,7261007,2017-01-09,global,global,6557531.0,2017.021917808219
81,2,Ed Sheeran,Castle on the Hill,4840898,2017-01-09,global,global,4584668.0,2017.021917808219
82,3,The Weeknd,Starboy,3364512,2017-01-09,global,global,3127938.0,2017.021917808219
83,4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3046633,2017-01-09,global,global,2802693.0,2017.021917808219
84,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3042565,2017-01-09,global,global,2658820.0,2017.021917808219
85,6,The Chainsmokers,Closer (feat. Halsey),2829337,2017-01-09,global,global,2697878.0,2017.021917808219
86,7,James Arthur,Say You Won't Let Go,2568220,2017-01-09,global,global,2371671.0,2017.021917808219
87,8,Maroon 5,Don't Wanna Know,2489412,2017-01-09,global,global,2339709.0,2017.021917808219
88,9,The Weeknd,I Feel It Coming,2432378,2017-01-09,global,global,2432378.0,2017.021917808219
89,10,Drake,Fake Love,2420381,2017-01-09,global,global,2288806.0,2017.021917808219
